"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.606616750E0,6.645544767E-1,6.807052344E-2,1.774519831E-1
1.616626750E0,6.524155140E-1,7.305130363E-2,1.162569672E-1
1.626636750E0,6.370179057E-1,1.343354285E-1,2.585650235E-2
1.636645750E0,6.505409479E-1,2.338040620E-1,-6.282150000E-2
1.646655750E0,7.026994824E-1,3.124852777E-1,-1.051782742E-1
1.656665750E0,7.434934974E-1,2.735524774E-1,-7.844197750E-2
1.666675750E0,7.472426891E-1,1.404839158E-1,-3.748294665E-3
1.676685750E0,7.073922157E-1,-4.881890863E-2,1.031353995E-1
1.686695750E0,5.951594114E-1,-2.195192724E-1,2.020119131E-1
1.696705750E0,4.621707201E-1,-2.727500498E-1,2.609803081E-1
1.706715750E0,3.571356237E-1,-2.235649377E-1,2.915222347E-1
1.716725750E0,3.120089173E-1,-1.966991276E-1,2.630063891E-1
1.726735750E0,3.179341853E-1,-1.817382872E-1,1.746056974E-1
1.736745750E0,3.717715740E-1,-1.140218377E-1,6.999405473E-2
1.746755750E0,4.744854271E-1,-7.959222794E-2,-7.250636816E-2
1.756765750E0,5.704450011E-1,-2.444647066E-2,-9.919493645E-2
1.766775750E0,6.130167246E-1,-6.917346269E-2,-9.014924616E-2
1.776785750E0,5.902346969E-1,-1.336423457E-1,-7.417732477E-2
1.786795750E0,5.529803038E-1,-1.547412425E-1,-4.530972242E-2
1.796805750E0,5.502340198E-1,-1.725246310E-1,-7.992133498E-3
1.806815750E0,5.593119264E-1,-2.037160993E-1,2.264487185E-2
1.816825750E0,5.658697486E-1,-2.410743982E-1,2.374500409E-2
1.826835750E0,5.646020770E-1,-2.282185405E-1,9.147686884E-3
1.836845750E0,5.400921702E-1,-1.823889315E-1,-4.025920294E-3
1.846855750E0,5.101835132E-1,-1.530254483E-1,-3.993163351E-3
1.856865750E0,5.013290644E-1,-1.827493161E-1,2.659898996E-2
1.866875750E0,5.013615489E-1,-2.476508021E-1,7.321442664E-2
1.876885750E0,5.080830455E-1,-3.264274299E-1,1.491475105E-1
1.886895750E0,4.934330285E-1,-4.081497192E-1,2.136516720E-1
1.896905750E0,4.409464598E-1,-4.895866811E-1,2.552586794E-1
1.906915750E0,3.784663081E-1,-5.448515415E-1,2.645821273E-1
1.916925750E0,3.453227282E-1,-5.547246933E-1,2.547243237E-1
1.926935750E0,3.529950380E-1,-5.203664899E-1,2.541570663E-1
1.936944750E0,3.693443537E-1,-4.732055068E-1,2.405194342E-1
1.946954750E0,3.713531792E-1,-4.023185372E-1,1.994942278E-1
1.956964750E0,3.857457340E-1,-3.511021733E-1,1.036100462E-1
1.966974750E0,4.243503809E-1,-3.539677262E-1,1.113363728E-2
1.976984750E0,4.932335913E-1,-3.442489505E-1,-4.042162001E-2
1.986994750E0,5.386295915E-1,-3.752289712E-1,-2.851675823E-2
1.997005333E0,5.296110511E-1,-4.605165720E-1,2.006630227E-2
2.007015333E0,4.650133848E-1,-5.583153367E-1,7.166478038E-2
2.017025333E0,3.751074970E-1,-6.519199014E-1,1.247798428E-1
2.027035333E0,3.025443554E-1,-7.368201017E-1,1.489901096E-1
2.037045333E0,2.678798437E-1,-7.755537033E-1,1.643541455E-1
2.047055333E0,2.800459564E-1,-8.002616763E-1,1.272326112E-1
2.057065333E0,3.197709918E-1,-7.533810139E-1,6.955932081E-2
2.067075333E0,3.641094267E-1,-6.522328258E-1,1.935979724E-2
2.077085333E0,3.906308115E-1,-6.029421687E-1,-1.685281470E-2
2.087095333E0,3.985310793E-1,-6.227265596E-1,-1.187802944E-2
2.097105333E0,3.991068602E-1,-6.505175829E-1,3.080110252E-2
2.107115333E0,3.780838549E-1,-7.254392505E-1,9.441869706E-2
2.117125333E0,3.199555874E-1,-8.349639773E-1,1.510663629E-1
2.127135333E0,2.543640733E-1,-9.022242427E-1,1.844978184E-1
2.137145333E0,2.090825588E-1,-8.878766894E-1,1.834601313E-1
2.147155333E0,1.817603856E-1,-8.147435784E-1,1.469402015E-1
