"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.032040333E0,3.124003601E-1,8.363258514E0,-2.409988403E0
2.042050333E0,4.543052673E-1,8.283773804E0,-2.212998047E0
2.052060333E0,7.720944214E-1,8.389603729E0,-2.145488434E0
2.062070333E0,8.123606873E-1,8.404722290E0,-2.152972870E0
2.072080333E0,7.261399841E-1,8.298443298E0,-2.259551239E0
2.082090333E0,4.948709106E-1,8.283175049E0,-2.492766266E0
2.092100333E0,3.996688843E-2,8.236771545E0,-2.629432068E0
2.102110333E0,-2.926414490E-1,8.233478394E0,-2.665057983E0
2.112120333E0,-5.126838684E-1,8.127648468E0,-2.836750946E0
2.122130333E0,-3.544628906E-1,8.061036987E0,-3.092568970E0
2.132140333E0,7.634124756E-3,8.042325897E0,-3.150199127E0
2.142150333E0,4.528083801E-1,7.985444183E0,-3.063229980E0
2.152160333E0,8.463400269E-1,7.915988617E0,-2.960244141E0
2.162170333E0,1.099763031E0,8.022716675E0,-2.638413391E0
2.172180333E0,1.023272095E0,8.051307220E0,-2.412533112E0
2.182190333E0,7.786807251E-1,8.267457733E0,-2.204316101E0
2.192200333E0,1.933978271E-1,8.109985199E0,-2.356549530E0
2.202210333E0,-5.289999390E-1,7.772886200E0,-3.207380219E0
2.212220333E0,-9.285191345E-1,7.799530792E0,-4.012855225E0
2.222230333E0,-9.460327148E-1,7.796686707E0,-4.667893066E0
2.232240333E0,-7.238946533E-1,7.933951263E0,-4.854105835E0
2.242250333E0,-7.084767151E-1,8.076604614E0,-4.256847839E0
2.252260333E0,-8.020321655E-1,8.041577454E0,-3.610941010E0
2.262270333E0,-7.587721252E-1,7.999365234E0,-3.248544617E0
2.272280333E0,-6.122268677E-1,7.954608307E0,-3.073408813E0
2.282289333E0,-4.161346436E-1,8.029153290E0,-2.884202271E0
2.292299333E0,-4.556524658E-1,8.055498505E0,-2.563269653E0
2.302309333E0,-6.012995911E-1,8.017627258E0,-2.421215057E0
2.312319333E0,-6.065386963E-1,8.004754028E0,-2.599194946E0
2.322329333E0,-6.640191650E-1,8.037685547E0,-2.882705383E0
2.332339333E0,-7.005432129E-1,7.983198853E0,-3.172502747E0
2.342349333E0,-6.620732117E-1,7.992180176E0,-3.469335480E0
2.352359333E0,-7.234455872E-1,8.010142822E0,-3.416195984E0
2.362369333E0,-6.771917725E-1,8.056845703E0,-3.216361542E0
2.372379333E0,-5.667214966E-1,8.127498779E0,-3.075504456E0
2.382389333E0,-6.074368286E-1,8.213270416E0,-2.992876282E0
2.392399333E0,-8.051756287E-1,8.142617340E0,-3.126697998E0
2.402409333E0,-9.716294861E-1,8.031099243E0,-3.318000183E0
2.412419333E0,-6.442602539E-1,7.825426941E0,-3.542233887E0
2.422429333E0,1.404080200E-1,7.758216705E0,-3.720064087E0
2.432439333E0,9.845027161E-1,7.858508148E0,-3.417692871E0
2.442449333E0,1.588197327E0,8.081694031E0,-2.467019806E0
2.452459333E0,1.705253906E0,8.195607147E0,-1.203197937E0
2.462469333E0,1.244961090E0,8.248297577E0,-3.465293884E-1
2.472479333E0,5.197192383E-1,8.685238953E0,-3.323089600E-2
2.482489333E0,-1.782792664E-1,8.606352997E0,-4.022135925E-1
2.492499333E0,-3.550616455E-1,8.609646149E0,-1.500928802E0
2.502509333E0,-5.869294739E-1,8.743916931E0,-1.966909790E0
2.512519333E0,-8.443940735E-1,8.662336578E0,-2.149230652E0
2.522529333E0,-1.003064117E0,8.768914948E0,-1.890119476E0
2.532539333E0,-1.394200745E0,8.921148376E0,-1.296154633E0
2.542549333E0,-1.768123169E0,9.075776825E0,-1.125509491E0
2.552559333E0,-2.288441162E0,9.141639862E0,-1.226250000E0
2.562569333E0,-2.500999146E0,9.301058350E0,-1.368005219E0
2.572579333E0,-2.438728638E0,9.294322357E0,-1.986668701E0
2.582589333E0,-2.214494934E0,9.245374146E0,-2.473905487E0
2.592599333E0,-1.800755310E0,9.105415192E0,-2.666255493E0
2.602609333E0,-1.100511475E0,9.148675232E0,-2.490371246E0
2.612619333E0,-8.421487427E-1,9.256900177E0,-1.627266083E0
2.622629333E0,-1.049018555E0,9.286987610E0,-6.483018494E-1
2.632639333E0,-1.474284210E0,9.246122589E0,-2.899470520E-1
2.642649333E0,-1.763183441E0,9.161398773E0,-3.324586487E-1
2.652659333E0,-1.701062622E0,9.037606201E0,-9.515711975E-1
2.662669333E0,-1.480122070E0,8.882977753E0,-1.537752228E0
2.672679333E0,-9.458830261E-1,9.025032349E0,-1.590442657E0
2.682689333E0,-8.277786255E-1,8.981472931E0,-1.192570038E0
2.692699333E0,-1.111738129E0,8.964558105E0,-2.457888794E-1
2.702709333E0,-1.689686279E0,8.890312500E0,2.868035889E-1
2.712718333E0,-1.880689087E0,8.745862885E0,-2.990780640E-1
2.722728333E0,-1.142574005E0,8.795559540E0,-1.559157715E0
2.732738333E0,1.956431580E-1,8.718170471E0,-2.459834747E0
2.742748333E0,1.828148346E0,8.944948883E0,-2.050735474E0
2.752758333E0,2.703228607E0,9.284891968E0,-4.833448792E-1
2.762768333E0,1.744921417E0,9.070986786E0,1.521885223E0
2.772778333E0,8.681945801E-2,8.783285065E0,2.699187012E0
2.782788333E0,-1.252146149E0,8.763825531E0,2.572250977E0
2.792798333E0,-2.081571350E0,8.975186005E0,9.610015869E-1
2.802808333E0,-2.046544189E0,9.169182587E0,-9.009764099E-1
2.812818333E0,-1.844165039E0,9.328002319E0,-1.716181183E0
2.822828333E0,-1.672472076E0,9.385333099E0,-1.362616425E0
2.832838333E0,-1.646126862E0,9.388775940E0,-5.231620789E-1
2.842848333E0,-2.081721039E0,9.306896210E0,2.805166626E-1
2.852858333E0,-2.405946808E0,9.207802277E0,3.468287659E-1
2.862868333E0,-2.379900970E0,9.230105896E0,-2.435435486E-1
2.872878333E0,-1.828447723E0,9.430539093E0,-7.994874573E-1
2.882888333E0,-1.382824402E0,9.523645477E0,-5.095404053E-1
2.892898333E0,-1.314266968E0,9.621841278E0,6.265969849E-1
2.902908333E0,-1.510658569E0,9.572444000E0,1.667981415E0
2.912918333E0,-1.726509705E0,9.527088318E0,2.249821472E0
2.922928333E0,-1.621278534E0,9.706714783E0,2.119143219E0
2.932938333E0,-1.607207794E0,9.888586578E0,1.478176117E0
2.942948333E0,-1.720372467E0,1.017000137E1,1.278491364E0
2.952958333E0,-1.901046753E0,1.034902908E1,1.247805176E0
2.962968333E0,-2.159409485E0,1.029663803E1,1.233734436E0
2.972978333E0,-2.380799103E0,1.022823029E1,1.352587280E0
2.982988333E0,-2.494712219E0,1.031669632E1,1.337169342E0
2.992998333E0,-2.613415375E0,1.045306274E1,1.129850464E0
3.003008458E0,-2.624043274E0,1.084584595E1,9.726773071E-1
3.013018458E0,-2.761307831E0,1.106020020E1,1.028211823E0
3.023028458E0,-2.508333893E0,1.111962662E1,1.008752289E0
3.033038458E0,-2.125579834E0,1.101259918E1,1.228645020E0
3.043048458E0,-1.930086365E0,1.076681030E1,1.930834808E0
3.053058458E0,-1.333277435E0,1.089883575E1,2.476150818E0
3.063068458E0,-9.683363342E-1,1.098939743E1,2.732268219E0
3.073078458E0,-1.094972992E0,1.101155136E1,2.990780640E0
3.083088458E0,-1.173709259E0,1.117800522E1,2.917133789E0
3.093098458E0,-1.203796692E0,1.124790985E1,2.343825989E0
3.103108458E0,-1.081201630E0,1.143786484E1,1.903741150E0
3.113118458E0,-1.148112488E0,1.152648056E1,1.893712006E0
3.123128458E0,-1.355581055E0,1.146750320E1,2.021546173E0
3.133138458E0,-1.597777405E0,1.148786087E1,2.335144043E0
3.143148458E0,-1.918260956E0,1.156090897E1,2.707719269E0
3.153158458E0,-2.171683960E0,1.157303375E1,2.644400940E0
3.163168458E0,-2.033371582E0,1.157767410E1,2.230361938E0
3.173178458E0,-1.531465302E0,1.185669388E1,1.852697296E0
3.183188458E0,-1.397643585E0,1.180729660E1,1.974094849E0
3.193198458E0,-1.363963623E0,1.174068512E1,2.300266571E0
3.203208458E0,-1.198557587E0,1.159354111E1,2.519859924E0
3.213218458E0,-1.150357819E0,1.142783569E1,2.686164093E0
3.223228458E0,-1.426982574E0,1.122036713E1,3.006348267E0
3.233238458E0,-1.693578186E0,1.098041611E1,3.088227997E0
3.243248458E0,-1.508562927E0,1.096874039E1,2.855012970E0
3.253258458E0,-1.175505524E0,1.082908081E1,2.509232025E0
3.263268458E0,-6.170169067E-1,1.091051147E1,2.517614594E0
3.273278458E0,-2.667453003E-1,1.092069031E1,2.500550079E0
3.283288458E0,-4.575984192E-1,1.085452789E1,2.542762299E0
3.293298458E0,-8.569679260E-1,1.071771240E1,2.629132690E0
3.303308458E0,-1.263821869E0,1.062355820E1,2.691552887E0
3.313318458E0,-1.600621490E0,1.061098434E1,2.445165253E0
3.323328458E0,-1.836830292E0,1.049542465E1,2.023342438E0
3.333338458E0,-1.858385468E0,1.043869263E1,1.775158539E0
3.343348458E0,-1.738933868E0,1.035816010E1,1.943408661E0
3.353358458E0,-1.426832886E0,1.022433838E1,2.048190765E0
3.363368458E0,-7.662565613E-1,1.021939865E1,2.088007965E0
3.373377458E0,-3.257226562E-1,1.029903305E1,2.407593384E0
3.383388458E0,-3.553610229E-1,1.042566971E1,2.851719818E0
3.393397458E0,-5.977070618E-1,1.052491333E1,2.987637177E0
3.403407458E0,-8.430468750E-1,1.058778259E1,2.739004211E0
3.413417458E0,-8.728349304E-1,1.076531342E1,2.399959259E0
3.423427458E0,-1.078507233E0,1.078612015E1,2.028431854E0
