"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.292746042E0,-1.061730385E0,6.764220595E-1,-8.807013631E-1
2.302756042E0,-8.043525815E-1,1.043417335E0,-1.043991327E0
2.312766042E0,-6.192805171E-1,1.282006621E0,-1.196015835E0
2.322776042E0,-5.587332845E-1,1.327105403E0,-1.261624098E0
2.332786042E0,-6.113772988E-1,1.318081260E0,-1.234777570E0
2.342796042E0,-7.673146725E-1,1.234746218E0,-1.093932867E0
2.352806042E0,-1.030945301E0,9.735026360E-1,-8.795033097E-1
2.362816042E0,-1.339217424E0,5.956587195E-1,-6.073256135E-1
2.372826042E0,-1.639850497E0,2.550790906E-1,-3.472534716E-1
2.382836042E0,-1.882337451E0,1.304623336E-1,-1.291842461E-1
2.392845042E0,-2.039791584E0,2.182045281E-1,3.871215507E-2
2.402855042E0,-2.072520018E0,4.422757030E-1,1.491590291E-1
2.412865042E0,-2.001416206E0,5.485521555E-1,2.800266147E-1
2.422875042E0,-1.907690406E0,6.859526634E-1,4.289231598E-1
2.432885042E0,-1.827282190E0,6.780027747E-1,5.703948140E-1
2.442895042E0,-1.747127175E0,6.762024760E-1,6.395437717E-1
2.452905042E0,-1.675392151E0,6.809529662E-1,6.451292038E-1
2.462915042E0,-1.623130083E0,6.257587075E-1,6.290106773E-1
2.472925042E0,-1.541728854E0,5.557297468E-1,5.954245925E-1
2.482935042E0,-1.430336356E0,5.093023181E-1,5.872095823E-1
2.492945042E0,-1.303513527E0,5.193638802E-1,5.912370086E-1
2.502955042E0,-1.194503903E0,5.885227323E-1,6.314496398E-1
2.512965042E0,-1.102298021E0,6.617812514E-1,6.640222073E-1
2.522975042E0,-9.945462346E-1,6.423338056E-1,6.777247190E-1
2.532985042E0,-8.836993575E-1,5.488926172E-1,6.840171814E-1
2.542995042E0,-8.034055829E-1,3.945951760E-1,6.643888950E-1
2.553005042E0,-7.179567218E-1,2.399483770E-1,6.077843308E-1
2.563015042E0,-5.954598784E-1,1.670084000E-1,5.135294795E-1
2.573025042E0,-4.758391976E-1,1.840272546E-1,3.866334558E-1
2.583035042E0,-3.285852969E-1,3.365909755E-1,2.292190790E-1
2.593044042E0,-1.764631122E-1,4.926692843E-1,8.375177532E-2
2.603054042E0,-6.045740470E-2,6.081444621E-1,-6.222726405E-2
2.613064042E0,1.642950578E-3,6.767230034E-1,-1.580997705E-1
2.623074042E0,-4.788583145E-3,6.511377692E-1,-1.847098172E-1
2.633084042E0,-4.647633433E-2,5.168503523E-1,-1.434478611E-1
2.643094042E0,-8.901926875E-2,3.395344317E-1,-3.616748005E-2
2.653104042E0,-1.079444960E-1,1.736716330E-1,1.035631448E-1
2.663114042E0,-1.036349684E-1,2.282593399E-2,2.156606615E-1
2.673124042E0,-1.190709174E-1,-9.090382606E-2,2.595013380E-1
2.683134042E0,-1.317219883E-1,-1.317162365E-1,2.637501359E-1
2.693144042E0,-1.062036306E-1,-1.334063709E-1,2.318766564E-1
