"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.501704042E0,5.957611084E-2,1.571117844E1,3.622916107E0
2.511714042E0,1.501377869E-1,1.553768921E1,3.698209534E0
2.521724042E0,3.784130859E-1,1.527259048E1,3.737278290E0
2.531734042E0,5.569917297E-1,1.524714340E1,3.809278564E0
2.541744042E0,8.756790161E-1,1.517993317E1,3.660188599E0
2.551754042E0,1.304088135E0,1.516870651E1,3.345692596E0
2.561764042E0,1.633852386E0,1.512694336E1,3.401526489E0
2.571774042E0,2.051034851E0,1.492456421E1,3.304079132E0
2.581784042E0,2.376009064E0,1.451157303E1,3.059936829E0
2.591793042E0,2.424657898E0,1.416968399E1,3.008892975E0
2.601803042E0,2.256108398E0,1.371642654E1,2.605930939E0
2.611813042E0,1.974843292E0,1.339220078E1,2.119891663E0
2.621823042E0,1.358275452E0,1.302860687E1,1.698517914E0
2.631833042E0,6.186634827E-1,1.268327499E1,1.408870239E0
2.641843042E0,-2.933898926E-2,1.232462082E1,1.412762146E0
2.651853042E0,-3.617976379E-1,1.198392929E1,1.562750244E0
2.661863042E0,-4.065545654E-1,1.176703033E1,1.826801147E0
2.671873042E0,4.086502075E-2,1.158306290E1,1.741628265E0
2.681883042E0,5.035528564E-1,1.127724884E1,1.572180634E0
2.691893042E0,7.509883118E-1,1.093655731E1,1.789828033E0
2.701903042E0,8.804690552E-1,1.069106781E1,2.022893372E0
2.711913042E0,1.061143341E0,1.050994446E1,2.301763458E0
2.721923042E0,9.976753235E-1,1.044213547E1,2.135309601E0
2.731933042E0,5.200186157E-1,1.025143204E1,1.911824341E0
2.741943042E0,1.056802368E-1,1.015218842E1,1.681154022E0
2.751953042E0,-7.229965210E-2,1.005324417E1,1.308578796E0
2.761963042E0,-2.454895020E-2,9.906998291E0,9.586065674E-1
2.771973042E0,-8.771759033E-2,9.697284393E0,9.369017029E-1
2.781983042E0,8.831634521E-2,9.764494629E0,1.404229889E0
2.791993042E0,2.644999695E-1,9.681716766E0,1.365610199E0
2.802003042E0,3.447331238E-1,9.556576996E0,1.503323822E0
2.812013042E0,3.989204407E-1,9.658814392E0,1.678459625E0
2.822022042E0,2.821632385E-1,9.615554352E0,1.708097992E0
2.832032042E0,4.385879517E-1,9.756860504E0,1.662293243E0
2.842042042E0,6.833290100E-1,9.809401245E0,1.536255341E0
2.852052042E0,6.047424316E-1,9.741741943E0,1.845063171E0
2.862062042E0,4.556524658E-1,9.816436615E0,1.845661926E0
2.872072042E0,3.031196594E-1,9.727521515E0,1.607656860E0
2.882082042E0,4.652325439E-1,9.846374359E0,1.428629150E0
2.892092042E0,9.012757874E-1,9.982142029E0,1.273252258E0
2.902102042E0,1.345102844E0,9.990674286E0,1.089284821E0
2.912112042E0,1.764830017E0,9.938133545E0,1.250499573E0
2.922122042E0,2.262694702E0,9.912536774E0,1.457369385E0
2.932132042E0,2.646197205E0,9.736203461E0,1.632355499E0
2.942142042E0,3.028352509E0,9.653874664E0,2.115850067E0
2.952152042E0,3.645369415E0,9.671687622E0,2.502795410E0
2.962162042E0,4.227508850E0,9.651928711E0,2.620600433E0
2.972172042E0,4.748126221E0,9.756710815E0,2.641107788E0
2.982182042E0,4.841531982E0,9.902807007E0,2.800526276E0
2.992192042E0,4.317771149E0,9.878856812E0,2.882855072E0
3.002202042E0,3.460503845E0,9.891730042E0,2.972967682E0
3.012212042E0,2.840193787E0,9.997260590E0,2.905907135E0
3.022222042E0,2.429447937E0,1.002630020E1,2.390528870E0
3.032232042E0,1.888921967E0,9.918075256E0,1.877096558E0
3.042241042E0,1.337917786E0,9.726623383E0,1.719773712E0
3.052251042E0,1.245110779E0,9.563612366E0,1.622775421E0
3.062261042E0,1.929487610E0,9.517508240E0,1.708097992E0
3.072271042E0,2.717898102E0,9.511221313E0,1.867815857E0
3.082281042E0,2.980152740E0,9.302255859E0,2.086361389E0
3.092291042E0,3.088826752E0,9.239536285E0,2.624043274E0
3.102301042E0,2.651436310E0,9.295370178E0,3.133134613E0
3.112311042E0,1.733096008E0,9.140142975E0,3.144960022E0
3.122321042E0,9.921368408E-1,9.104666748E0,2.718197479E0
3.132331042E0,4.379891968E-1,9.110654297E0,2.152523804E0
3.142341042E0,1.327738953E-1,9.300758972E0,1.855990448E0
3.152351042E0,-8.247848511E-2,9.305249634E0,1.799108734E0
3.162361042E0,-1.121168518E-1,9.286239166E0,1.745220795E0
3.172371042E0,-2.480342102E-1,9.406738586E0,2.115401001E0
3.182381042E0,-1.094224548E0,9.507329407E0,2.872077484E0
3.192391042E0,-2.177970886E0,9.472302246E0,3.199446716E0
3.202401042E0,-2.769690399E0,9.483079834E0,2.912343750E0
3.212411042E0,-2.584675140E0,9.853409729E0,2.279609528E0
3.222421042E0,-2.173929291E0,1.008497818E1,1.629212036E0
3.232431042E0,-1.935026093E0,1.015353561E1,1.059197388E0
3.242441042E0,-1.564546509E0,1.015907410E1,7.966433716E-1
3.252450833E0,-1.420246582E0,1.000878662E1,1.207688599E0
3.262460833E0,-1.503772888E0,9.757908325E0,2.379451904E0
3.272470833E0,-1.334025879E0,9.544901276E0,3.552263031E0
3.282479833E0,-9.246272278E-1,9.405541077E0,4.463118896E0
3.292489833E0,-8.605604553E-1,9.367370453E0,5.189857635E0
3.302499833E0,-1.332229614E0,9.389075317E0,5.175637207E0
3.312509833E0,-2.152224426E0,9.401200104E0,4.863386536E0
3.322519833E0,-3.217559052E0,9.271270294E0,4.454287262E0
3.332529833E0,-4.214336243E0,9.190139008E0,4.180356903E0
3.342539833E0,-4.820126495E0,9.312584381E0,3.714226227E0
3.352549833E0,-4.858596497E0,9.427096252E0,2.871029663E0
3.362559833E0,-5.016667786E0,9.418863373E0,2.094444580E0
3.372569833E0,-5.330415344E0,9.486822052E0,1.458417206E0
3.382579833E0,-5.730832672E0,9.311835938E0,1.146016846E0
3.392589833E0,-5.636977844E0,9.183552704E0,1.259780273E0
3.402599833E0,-4.885690155E0,9.256750488E0,1.585502930E0
3.412609833E0,-4.057013397E0,9.114097137E0,2.006577301E0
3.422619833E0,-3.374283142E0,9.025780792E0,2.519560547E0
3.432629833E0,-2.749332733E0,9.068142700E0,2.900069275E0
3.442639833E0,-2.393522644E0,8.985813904E0,2.952011261E0
3.452649833E0,-2.229314117E0,9.072483673E0,2.801873474E0
3.462659833E0,-2.466570740E0,9.111851807E0,2.618504791E0
3.472669833E0,-2.879711609E0,9.139544220E0,2.307601318E0
3.482679833E0,-3.005150757E0,9.283993835E0,1.876946869E0
3.492689833E0,-3.004252625E0,9.428144073E0,1.250499573E0
3.502699833E0,-2.988086243E0,9.340725861E0,7.336244202E-1
3.512709833E0,-2.714305573E0,9.424102478E0,6.590794373E-1
3.522719833E0,-2.304607544E0,9.535470886E0,1.102756805E0
3.532729833E0,-1.882784729E0,9.554331665E0,1.654210052E0
3.542738833E0,-1.493444366E0,9.620494080E0,2.019300842E0
3.552748833E0,-1.239272919E0,9.630972290E0,2.096540222E0
3.562758833E0,-1.158590698E0,9.747579803E0,2.101180573E0
3.572768833E0,-1.228495331E0,9.725725250E0,2.067650299E0
3.582778833E0,-1.200802917E0,9.698781281E0,1.994901581E0
3.592788833E0,-1.040336609E0,9.761201477E0,1.959724731E0
3.602798833E0,-9.616003418E-1,9.704619141E0,1.991159363E0
3.612808833E0,-7.710466003E-1,9.696386261E0,2.100132751E0
3.622818833E0,-6.740483093E-1,9.702074432E0,2.259102173E0
3.632828833E0,-6.586303711E-1,9.756860504E0,2.440674591E0
3.642838833E0,-5.587879944E-1,9.750423889E0,2.428998871E0
3.652848833E0,-4.287084961E-1,9.709708557E0,2.373763733E0
3.662858833E0,-1.610650635E-1,9.706714783E0,2.366279297E0
3.672868833E0,1.044827271E-1,9.594448242E0,2.473007355E0
3.682878833E0,1.576222229E-1,9.417067108E0,2.608924713E0
3.692888833E0,1.365161133E-1,9.314530334E0,2.899919586E0
3.702898833E0,1.380130005E-1,9.229357452E0,3.209475861E0
3.712908833E0,3.339555359E-1,9.233099670E0,3.325185242E0
3.722918833E0,5.673202515E-1,9.227261810E0,3.367098083E0
3.732928833E0,5.077441406E-1,9.176816711E0,3.677103424E0
3.742938833E0,5.644761658E-1,9.385632477E0,3.739373932E0
3.752948833E0,4.204756165E-1,9.461674347E0,3.241808624E0
3.762958833E0,2.121089172E-1,9.430389404E0,2.689606934E0
3.772968833E0,1.254391479E-1,9.517807617E0,2.469564514E0
3.782978833E0,-5.508544922E-2,9.541757812E0,2.510728912E0
3.792988833E0,-8.068222046E-2,9.468709717E0,2.605631561E0
3.802998833E0,1.562750244E-1,9.524543610E0,2.736309814E0
3.813008833E0,1.725910950E-1,9.564211121E0,3.007246399E0
3.823018833E0,1.451980591E-1,9.557175751E0,3.151696014E0
3.833027833E0,2.978805542E-1,9.528435516E0,3.132386169E0
3.843037833E0,4.445755005E-1,9.519304504E0,3.054697723E0
3.853047833E0,5.631289673E-1,9.462572479E0,2.859353943E0
3.863057833E0,7.270381165E-1,9.477092285E0,2.676134949E0
3.873067833E0,6.396199036E-1,9.429790649E0,2.724334717E0
3.883077833E0,4.430786133E-1,9.348509674E0,2.976410522E0
3.893087833E0,4.210743713E-1,9.452094269E0,3.206482086E0
3.903097833E0,4.183799744E-1,9.438322906E0,3.169508972E0
3.913107833E0,3.917353821E-1,9.390572205E0,2.995720367E0
3.923117833E0,3.192860413E-1,9.393565979E0,2.853665771E0
3.933127833E0,2.538720703E-1,9.430988159E0,2.792143707E0
3.943137833E0,1.950444031E-1,9.475745087E0,2.677931213E0
3.953147833E0,1.734892273E-1,9.472751312E0,2.502945099E0
3.963157833E0,2.074685669E-1,9.488169250E0,2.397414551E0
3.973167833E0,1.225950623E-1,9.428593140E0,2.463576965E0
3.983177833E0,-1.454974365E-1,9.302704926E0,2.686313782E0
3.993187833E0,-2.769241333E-1,9.247170410E0,2.925666046E0
4.003197833E0,-2.091151428E-1,9.296717377E0,3.048560486E0
4.013207833E0,-1.101708984E-1,9.292376404E0,2.988684998E0
4.023217833E0,4.071533203E-2,9.319320374E0,2.753524017E0
4.033227833E0,1.082249451E-1,9.343120880E0,2.614014130E0
4.043237833E0,1.616638184E-2,9.298663330E0,2.603535919E0
4.053247833E0,-7.783813477E-2,9.280700684E0,2.583327942E0
4.063257833E0,-2.070195007E-1,9.247469788E0,2.535876617E0
4.073267833E0,-2.411485291E-1,9.204359436E0,2.524051208E0
4.083277833E0,-1.719923401E-1,9.217681732E0,2.706222382E0
4.093287833E0,-7.409591675E-2,9.241182861E0,2.941982117E0
4.103297833E0,-7.544311523E-2,9.225016479E0,3.199147339E0
4.113307833E0,-5.837860107E-3,9.285790100E0,3.272943878E0
