"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.453242000E0,-1.931583252E1,1.214215027E1,2.155218201E0
1.463252000E0,-1.155282578E1,-1.670825500E0,1.556912384E0
1.473261000E0,1.166075134E0,-1.667262909E1,4.899311829E-1
1.483271000E0,1.929293015E1,-2.925546295E1,5.273533630E-1
1.493281000E0,3.847898254E1,-3.445265533E1,6.232439575E0
1.503291000E0,4.974021469E1,-3.304902420E1,1.332394272E1
1.513301000E0,4.878834412E1,-3.210628464E1,1.204066132E1
1.523310000E0,3.790986603E1,-3.080489090E1,7.346123657E0
1.533320000E0,2.072619965E1,-2.841061981E1,6.921157379E0
1.543330000E0,2.042951660E0,-2.266077667E1,1.027403503E1
1.553340000E0,-1.086964645E1,-9.833800507E0,1.275662247E1
1.563350000E0,-2.332838837E1,3.648512878E0,9.615254974E0
1.573359000E0,-3.468212814E1,1.581191895E1,4.302203522E0
1.583369000E0,-4.063509888E1,2.633443726E1,2.805016937E0
1.593379000E0,-4.047508163E1,3.294064957E1,3.653602295E0
1.603389000E0,-3.598681503E1,3.407948135E1,3.505410461E0
1.613399000E0,-2.986020538E1,3.076986374E1,1.869312744E0
1.623409000E0,-2.415407135E1,2.336745712E1,-6.885681152E-3
1.633418000E0,-1.842518463E1,1.218211716E1,-5.586383057E-1
1.643428000E0,-1.012928604E1,-1.020428009E0,-3.625460815E-1
1.653438000E0,2.639610901E0,-1.508039017E1,-2.143542480E-1
1.663448000E0,1.982672012E1,-2.564512070E1,7.288343811E-1
1.673458000E0,3.636253372E1,-3.080054993E1,6.253395996E0
1.683467000E0,4.629363190E1,-3.055521011E1,1.384276382E1
1.693477000E0,4.650154953E1,-2.931279373E1,1.413615372E1
1.703487000E0,3.755749878E1,-2.707928833E1,1.049108368E1
1.713497000E0,2.231843857E1,-2.482123398E1,9.138346710E0
1.723507000E0,2.517913971E0,-2.012983978E1,1.288340881E1
1.733516000E0,-1.597448090E1,-8.969946899E0,1.738125549E1
1.743526000E0,-2.927372498E1,4.461172943E0,1.207673630E1
1.753536000E0,-3.697820343E1,1.628688126E1,1.728305969E0
1.763546000E0,-3.957679962E1,2.678814377E1,-3.385060730E0
1.773556000E0,-3.966376877E1,3.255684769E1,-9.660910034E-1
1.783566000E0,-3.609309402E1,3.388039536E1,2.806663513E0
1.793575000E0,-3.126518372E1,3.149465652E1,2.967728577E0
1.803585000E0,-2.708707214E1,2.488021133E1,6.545887756E-1
1.813595000E0,-2.156745026E1,1.439376801E1,-1.557960205E0
1.823605000E0,-1.386222336E1,2.074685669E-1,-2.704575806E0
1.833615000E0,-6.239025879E-1,-1.535985901E1,-3.523223419E0
1.843624000E0,1.840871887E1,-2.767100784E1,-3.141367493E0
1.853634000E0,3.762036804E1,-3.545736603E1,3.277434540E0
1.863644000E0,5.167628860E1,-3.266761734E1,1.539907745E1
1.873654000E0,5.212685165E1,-3.180720657E1,1.816382813E1
1.883664000E0,4.003694275E1,-3.220343262E1,1.413405807E1
1.893673000E0,2.052831116E1,-3.003399399E1,1.344025085E1
1.903683000E0,-2.993774414E-1,-2.449850510E1,1.607103012E1
1.913693000E0,-1.575743225E1,-1.184142563E1,1.741149261E1
1.923703000E0,-2.510758850E1,3.776197357E0,9.478738861E0
1.933713000E0,-3.224235168E1,1.654284897E1,4.041595459E-3
1.943722000E0,-3.658646805E1,2.692166611E1,-2.834355927E0
1.953732000E0,-3.807976273E1,3.197126541E1,-5.246589661E-1
1.963742000E0,-3.675262253E1,3.205733643E1,2.616858215E0
1.973752000E0,-3.185016724E1,2.812441498E1,2.035916290E0
1.983762000E0,-2.545681229E1,2.033745804E1,-3.359014893E-1
1.993772000E0,-1.811817307E1,1.027643005E1,-1.196312256E0
2.003781000E0,-9.871072998E0,-3.341651001E0,-1.476379852E0
2.013791000E0,5.469326477E0,-1.674627594E1,-2.109712830E0
2.023801000E0,2.446407669E1,-2.607727203E1,-8.207432556E-1
2.033811000E0,4.024336349E1,-2.876238831E1,7.178472290E0
2.043821000E0,4.773318832E1,-2.602488098E1,1.608929214E1
2.053830000E0,4.420637238E1,-2.520473648E1,1.486169495E1
2.063840000E0,3.047707260E1,-2.346924545E1,1.243374390E1
2.073850000E0,8.192912750E0,-2.056723022E1,1.644300659E1
2.083860000E0,-1.077504318E1,-1.152917496E1,2.066692291E1
2.093870000E0,-2.240510834E1,2.632725220E0,1.600546646E1
2.103879000E0,-2.980796402E1,1.634615799E1,5.818550262E0
2.113889000E0,-3.368774597E1,2.788805649E1,-9.163943481E-1
2.123899000E0,-3.791360825E1,3.299798035E1,1.540296936E-1
2.133909000E0,-3.872731613E1,3.479858597E1,5.351521454E0
2.143919000E0,-3.570510086E1,3.175631241E1,5.279072113E0
2.153929000E0,-2.919109680E1,2.406829971E1,1.995650024E0
2.163938000E0,-2.031605255E1,1.288116348E1,-1.222956848E0
2.173948000E0,-1.012778915E1,-1.481918335E0,-5.667214966E-1
2.183958000E0,3.974983978E0,-1.608405304E1,3.378474426E-1
2.193968000E0,2.088666595E1,-2.705563751E1,2.042352905E0
2.203978000E0,3.785612778E1,-3.193040039E1,8.642278290E0
2.213987000E0,4.898847794E1,-3.119857224E1,1.536240372E1
2.223997000E0,4.933066635E1,-3.033741302E1,1.455827591E1
2.234007000E0,3.469425293E1,-3.014655991E1,1.227372665E1
2.244017000E0,1.404738831E1,-2.722224106E1,1.179113022E1
2.254027000E0,-2.474504242E0,-1.785112839E1,1.185699326E1
2.264036000E0,-1.254915390E1,-4.660708008E0,8.221353607E0
2.274046000E0,-2.050436096E1,8.493038635E0,2.427951050E0
2.284056000E0,-2.885100403E1,1.900462967E1,7.503895569E-1
2.294066000E0,-3.538611420E1,2.668276291E1,3.779939575E0
2.304078625E0,-3.712684433E1,3.071058701E1,5.574857025E0
2.314087625E0,-3.369283539E1,3.040192886E1,3.203039246E0
